Sample	Sum of remaining over-represented sequences	Top over-represented sequence
SRR1296956.trim_1P	0.0	0.0
SRR1296957.trim_1P	0.0	0.0
SRR1296958.trim_1P	1.0602502825560267	0.27991203195016706
SRR1296959.trim_1P	0.0	0.0
SRR1296960.trim_1P	0.0	0.0
SRR1296961.trim_1P	0.0	0.0
SRR1296962.trim_1P	0.0	0.0
SRR1296963.trim_1P	0.0	0.0
SRR1296964.trim_1P	0.0	0.0
SRR1296965.trim_1P	0.0	0.0
SRR1296966.trim_1P	0.0	0.0
SRR1296967.trim_1P	0.0	0.0
SRR1296968.trim_1P	0.878857103724594	0.19972319760871143
SRR1296969.trim_1P	0.6158478489573904	0.18153550524002923
SRR1296970.trim_1P	0.8337337764726928	0.17788922515129416
SRR1296971.trim_1P	0.4493446048153336	0.15913847617061921
SRR1296972.trim_1P	0.0	0.0
SRR1296973.trim_1P	0.0	0.0
SRR1296974.trim_1P	0.0	0.0
SRR1296975.trim_1P	0.0	0.0
SRR1296976.trim_1P	0.0	0.26564690957437714
SRR1296977.trim_1P	0.0	0.0
SRR1296978.trim_1P	0.0	0.0
SRR1296979.trim_1P	0.0	0.0
SRR1296980.trim_1P	0.0	0.0
SRR1296981.trim_1P	0.0	0.0
SRR1296982.trim_1P	0.0	0.0
SRR1296983.trim_1P	0.0	0.0
SRR1296984.trim_1P	0.0	0.0
SRR1296985.trim_1P	0.0	0.0
SRR1296986.trim_1P	0.0	0.0
SRR1296987.trim_1P	0.0	0.0
SRR1296988.trim_1P	0.0	0.0
SRR1296989.trim_1P	0.0	0.0
SRR1296990.trim_1P	0.0	0.0
SRR1296991.trim_1P	0.0	0.0
SRR1296992.trim_1P	0.0	0.0
SRR1296993.trim_1P	0.0	0.0
SRR1296994.trim_1P	0.0	0.0
SRR1296995.trim_1P	0.0	0.0
SRR1296996.trim_1P	0.0	0.0
SRR1300211.trim_1P	1.5738468072131717	0.29095522258036416
SRR1300212.trim_1P	13.086418430754199	14.250373228971275
SRR1300213.trim_1P	1.3192906981034245	9.034874514230868
SRR1300214.trim_1P	0.49467190630984703	10.586665983177056
SRR1300215.trim_1P	0.5078279803772432	3.6414437455622153
SRR1300216.trim_1P	0.0	0.0
SRR1300217.trim_1P	2.757232559565752	0.2712771483032975
SRR1300218.trim_1P	2.915119006034581	0.3149968913978329
SRR1300219.trim_1P	20.454039662259863	6.12802120454552
SRR1300220.trim_1P	21.693411210730254	8.030146969891133
SRR1300221.trim_1P	0.22650193289694392	0.32961554942136434
SRR1300222.trim_1P	0.3688486139246028	0.3739375405443983
SRR1300223.trim_1P	0.0	0.0
SRR1300224.trim_1P	0.0	0.0
SRR1300225.trim_1P	0.0	0.0
SRR1300226.trim_1P	0.0	0.0
SRR1300227.trim_1P	0.0	0.0
SRR1300228.trim_1P	4.676414905634068	1.2341325479243672
SRR1300229.trim_1P	0.0	0.0
SRR1300230.trim_1P	0.0	0.0
SRR1300231.trim_1P	0.0	0.0
SRR1300232.trim_1P	0.0	0.0
SRR1300233.trim_1P	0.0	0.0
