MMETSP ID,Phylum,Class,Family,Genus,Species,Strain,Clonal *,Axenic *,PCRamp,Principle Investgator(s)
MMETSP1447,Bacillariophyta,Bacillariophyceae,Chaetocerotaceae,Chaetoceros,dichaeta,CCMP1751,Yes,No,No, Mike Preston
MMETSP0149,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,debilis,MM31A-1,Yes,No,No, Bank Beszteri
MMETSP0150,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,debilis,MM31A-1,Yes,No,No, Bank Beszteri
MMETSP0200,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,sp.,GSL56,Yes,Yes,No, Matthew Posewitz
MMETSP0751,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,neogracile,CCMP1317,Yes,No,No, Sarah Smith
MMETSP0752,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,neogracile,CCMP1317,Yes,No,No, Sarah Smith
MMETSP0753,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,neogracile,CCMP1317,Yes,No,No, Sarah Smith
MMETSP0754,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,neogracile,CCMP1317,Yes,No,No, Sarah Smith
MMETSP1429,Bacillariophyta,Coscinodiscophyceae,Chaetocerotaceae,Chaetoceros,sp.,UNC1202,Unknown,No,No, Adrian Marchetti
MMETSP1066,Bacillariophyta,Coscinodiscophyceae,Conscinodiscaceae,Coscinodiscus,wailesii,CCMP2513,Yes,No,No, E. Virginia Armbrust
MMETSP0010,Bacillariophyta,Coscinodiscophyceae,Corethraceae,Corethron,hystrix,308,Unknown,No,No, E. Virginia Armbrust
MMETSP0169,Bacillariophyta,Coscinodiscophyceae,Corethraceae,Corethron,pennatum,L29A3,Yes,No,No, Bank Beszteri
MMETSP0171,Bacillariophyta,Coscinodiscophyceae,Corethraceae,Corethron,pennatum,L29A3,Yes,No,No, Bank Beszteri
MMETSP0397,Bacillariophyta,Bacillariophyceae,Cyclophoraceae,Cyclophora,tenuis,ECT3854,Unknown,No,No, Matt Ashworth
MMETSP0696,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No, Sarah Smith
MMETSP0697,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No, Sarah Smith
MMETSP0698,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No, Sarah Smith
MMETSP0699,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No, Sarah Smith
MMETSP1070,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Minutocellus,polymorphus,NH13,Yes,No,No, E. Virginia Armbrust
MMETSP1322,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Minutocellus,polymorphus,RCC2270,No,No,No, Daniel Vaulot
