SAMPLE_ACC,Sample Type,SAMPLE_VOLUME,VOLUME_UNIT,FILTER_MIN,FILTER_MAX,SAMPLE_DESCRIPTION,SAMPLE_NAME,COMMENTS,TAXON_ID,COLLECTION_START_TIME,COLLECTION_STOP_TIME,BIOMATERIAL_NAME,DESCRIPTION,MATERIAL_ACC,SITE_NAME,LATITUDE,LONGITUDE,ALTITUDE,SITE_DEPTH,SITE_DESCRIPTION,COUNTRY_NAME,REGION,HABITAT_NAME,HOST_TAXON_ID,HOST_DESCRIPTION,HOST_ORGANISM,LIBRARY_ACC,SEQUENCING_METHOD,DNA_TYPE,NUM_OF_READS,MATERIAL_ID,Silicate - (umol/kg),sample depth - (M),salinity - (psu),temperature - (C),chlorophyll density - (ug/kg),phosphate - (umol/kg),dissolved oxygen - (nmol/kg),Particulate Organic Carbon - (umol/kg),dissolved organic carbon - (umol/kg),pH,nitrate(NO3) - (umol/l)
CAM_SMPL_002335,eukaryotes,,L,,,"Prymnesium parvum Texoma1
",MMETSP0008,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0008"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0008</a>""",97485,00:00.0,00:00.0,(MMETSP0008) Prymnesium parvum,,CAM_BM_002355,"Lake Texoma, Oklahoma",33.98,-96.67,,,,UNITED STATES,,freshwater habitat,,,,CAM_LIB_001101,Illumina,cDNA,,2810,,,5,,,,,,,,
CAM_SMPL_002336,eukaryotes,4,L,5,5,Grammatophora oceanica CCMP 410,MMETSP0009,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0009"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0009</a>""",210454,00:00.0,00:00.0,(MMETSP0009) Grammatophora oceanica - Seawater,,CAM_BM_002356,Bass Strait,37.86,144.93,,,"Phillip Bay, Hobsons Bay, Melbourne, Victoria, Australia",AUSTRALIA,,marine habitat,,,,CAM_LIB_001102,Illumina,cDNA,,2811,,,,13,,,,,,,
CAM_SMPL_002337,eukaryotes,4,L,10,10,Corethron hystrix 308,MMETSP0010,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0010"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0010</a>""",216773,00:00.0,00:00.0,(MMETSP0010) Corethron hystrix - Seawater,,CAM_BM_002357,North Sea,58.5,0.32,,,"Fladenground, North Sea",,,marine habitat,,,,CAM_LIB_001103,Illumina,cDNA,,2812,,,,,,,,,,,
CAM_SMPL_002338,eukaryotes,4,L,3,3,Rhodosorus marinus CCMP 769,MMETSP0011,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0011"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0011</a>""",101924,,,(MMETSP0011) Rhodosorus marinus - Seawater,,CAM_BM_002358,Pacific_Ocean,20.5,156.8,,,"Hawaii, USA (very approx.), open ocean",UNITED STATES,,marine habitat,,,,CAM_LIB_001104,Illumina,cDNA,,2813,,,,,,,,,,,
CAM_SMPL_002340,eukaryotes,4,L,0.8,0.8,Skeletonema costatum 1716,MMETSP0013,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0013"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0013</a>""",2843,00:00.0,00:00.0,(MMETSP0013) Skeletonema costatum - Seawater,,CAM_BM_002360,English Channel,48.45,3.57,,,Britanny coast,FRANCE,,marine habitat,,,,CAM_LIB_001106,Illumina,cDNA,,2815,,,,15,,,,,,,
CAM_SMPL_002341,eukaryotes,4,L,0.8,0.8,Nitszchia sp. RCC80,MMETSP0014,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0014"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0014</a>""",2857,00:00.0,00:00.0,(MMETSP0014) Nitzschia sp. - Seawater,,CAM_BM_002361,English Channel,48.43,3.59,,,Britanny Coast,FRANCE,,marine habitat,,,,CAM_LIB_001107,Illumina,cDNA,,2816,,0,,,,,,,,,
CAM_SMPL_002342,eukaryotes,3.5,L,3,3,Odontella aurita isolate 1302-5,MMETSP0015,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0015"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0015</a>""",2838,00:00.0,00:00.0,(MMETSP0015) Odontella aurita - Seawater,,CAM_BM_002362,Pacific_Ocean,44.65,-124.53,,,Oregon coast NH-20,UNITED STATES,,marine habitat,,,,CAM_LIB_001108,Illumina,cDNA,,2817,,,,,,,,,,,
CAM_SMPL_002346,eukaryotes,,,,,Nephroselmis pyriformis CCMP717,MMETSP0034,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0034"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0034</a>""",156128,,,(MMETSP0034) Nephroselmis pyriformis,,CAM_BM_002366,Gulf of Mexico,29.3833,-94.8833,,,"Galveston Channel, Texas",UNITED STATES,,marine habitat,,,,CAM_LIB_001112,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002349,eukaryotes,,,,,Lotharella globosa LEX01,MMETSP0041,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0041"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0041</a>""",91324,00:00.0,00:00.0,(MMETSP0041) Lotharella globosa - artificial coral leef,,CAM_BM_002369,OTHER,32.86692,-117.25169,,,"the Birch Aquarium, San Diego",UNITED STATES,,marine habitat,,,,CAM_LIB_001115,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002350,eukaryotes,,,,,Lotharella amoebiformis CCMP2058,MMETSP0042,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0042"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0042</a>""",168855,00:00.0,00:00.0,(MMETSP0042) Lotharella amoebiformis - sand,,CAM_BM_002370,OTHER,26.45291,127.80296,,,Moon Beach,JAPAN,,marine habitat,,,,CAM_LIB_001116,Illumina,cDNA,,2825,,0,,,,,,,,,
CAM_SMPL_002351,eukaryotes,,,,,Hemiselmis andersenii CCMP644,MMETSP0043,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0043"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0043</a>""",464988,,,(MMETSP0043) Hemiselmis andersenii - net tow,,CAM_BM_002371,Gulf of Mexico,,,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001117,Illumina,cDNA,,2826,,0,,,,,,,,,
CAM_SMPL_002352,eukaryotes,,L,,,Cryptomonas paramecium CCAP977/2a,MMETSP0038,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0038"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0038</a>""",2898,,,(MMETSP0038) Cryptomonas paramecium,,CAM_BM_002372,,,,,,,,,marine habitat,,,,CAM_LIB_001118,Illumina,cDNA,,2827,,,,,,,,,,,
CAM_SMPL_002353,eukaryotes,,L,,,Eutreptiella gymnastica NIES-381,MMETSP0039,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0039"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0039</a>""",73025,,,(MMETSP0039) Eutreptiella gymnastica,,CAM_BM_002373,,,,,,,,,marine habitat,,,,CAM_LIB_001119,Illumina,cDNA,,2828,,,,,,,,,,,
CAM_SMPL_002354,eukaryotes,,,,,Lotharella oceanica CCMP622,MMETSP0040,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0040"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0040</a>""",641309,,,(MMETSP0040) Lotharella oceanica,,CAM_BM_002374,,,,,,,,,,,,,CAM_LIB_001120,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002356,eukaryotes,,,,,Karenia brevis CCMP2229,MMETSP0027,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0027"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0027</a>""",156230,,,(MMETSP0027) Karenia brevis,,CAM_BM_002376,,27.0171,82.4763,,,,,,marine habitat,,,,CAM_LIB_001122,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002357,eukaryotes,,,,,Karenia brevis CCMP2229,MMETSP0029,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0029"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0029</a>""",156230,,,(MMETSP0029) Karenia brevis,,CAM_BM_002377,,27.0171,82.4763,,,,,,marine habitat,,,,CAM_LIB_001123,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002358,eukaryotes,,,,,Karenia brevis CCMP2229,MMETSP0030,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0030"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0030</a>""",156230,,,(MMETSP0030) Karenia brevis,,CAM_BM_002378,,27.0171,82.4763,,,,,,marine habitat,,,,CAM_LIB_001124,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002359,eukaryotes,,,,,Karenia brevis CCMP2229,MMETSP0031,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0031"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0031</a>""",156230,,,(MMETSP0031) Karenia brevis,,CAM_BM_002379,,27.0171,82.4763,,,,,,marine habitat,,,,CAM_LIB_001125,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002361,eukaryotes,,,,,Dolichomastix tenuilepis CCMP3274,MMETSP0033,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0033"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0033</a>""",195969,00:00.0,00:00.0,(MMETSP0033) Dolichomastix tenuilepis,,CAM_BM_002381,Mediterranean Sea,40.5,14.25,,,"Tyrrhenian Sea, south of Capri",ITALY,,marine habitat,,,,CAM_LIB_001127,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002362,eukaryotes,,,,,Dinobryon sp. UTEXLB2267,MMETSP0019,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0019"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0019</a>""",98059,00:00.0,00:00.0,(MMETSP0019) Dinobryon sp.,,CAM_BM_002382,"Sippewissett Pond, Woods Hole, Massachussetts",41.57595,-70.64038,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001128,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002363,eukaryotes,,,,,Dinobryon sp. UTEXLB2267,MMETSP0020,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0020"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0020</a>""",98059,00:00.0,00:00.0,(MMETSP0020) Dinobryon sp.,,CAM_BM_002383,"Sippewissett Pond, Woods Hole, Massachussetts",41.57595,-70.64038,,,,UNITED STATES,,marine habitat,,,,CAM_LIB_001129,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002365,eukaryotes,,,,,Pyramimonas parkeae CCMP726,MMETSP0058,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0058"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0058</a>""",36894,00:00.0,00:00.0,(MMETSP0058) Pyramimonas parkeae - seawater (high tide pool),,CAM_BM_002385,,36.64,121.93,,,"Hopkins Marine Station, California",UNITED STATES,,marine habitat,,,,CAM_LIB_001131,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002366,eukaryotes,,,,,Pyramimonas parkeae CCMP726,MMETSP0059,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0059"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0059</a>""",36894,00:00.0,00:00.0,(MMETSP0059) Pyramimonas parkeae - seawater (high tide pool),,CAM_BM_002386,,36.64,121.93,,,"Hopkins Marine Station, California",UNITED STATES,,marine habitat,,,,CAM_LIB_001132,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002367,eukaryotes,,,,,Chlamydomonas euryale CCMP219,MMETSP0063,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0063"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0063</a>""",327068,00:00.0,00:00.0,(MMETSP0063) Chlamydomonas euryale - seawater,,CAM_BM_002387,,,,,,Qingdao,CHINA,,marine habitat,,,,CAM_LIB_001133,Illumina,cDNA,,2842,,,32,,,,,,,,
CAM_SMPL_002368,eukaryotes,,,,,Undescribed Undescribed D1,MMETSP0086,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0086"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0086</a>""",136419,,,(MMETSP0086) Undescribed Undescribed,,CAM_BM_002388,,,,,,,,,,,,,CAM_LIB_001134,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002371,eukaryotes,,,,,Oxyrrhis marina CCMP1788,MMETSP0044,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0044"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0044</a>""",2969,,,(MMETSP0044) Oxyrrhis marina,,CAM_BM_002391,,,,,,,,,marine habitat,,,,CAM_LIB_001137,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002372,eukaryotes,,,,,Bigelowiella natans CCMP 2755,MMETSP0045,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0045"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0045</a>""",753081,,,(MMETSP0045) Bigelowiella natans,,CAM_BM_002392,,,,,,,,,,,,,CAM_LIB_001138,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002373,eukaryotes,,L,,,Guillardia theta CCMP 2712,MMETSP0046,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0046"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0046</a>""",905079,,,(MMETSP0046) Guillardia theta,,CAM_BM_002393,,,,,,,,,marine habitat,,,,CAM_LIB_001139,Illumina,cDNA,,2848,,,,,,,,,,,
CAM_SMPL_002376,eukaryotes,,,,,Polytomella parva SAG 63-3,MMETSP0052,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0052"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0052</a>""",51329,00:00.0,00:00.0,(MMETSP0052) Polytomella parva - Soil,,CAM_BM_002396,OTHER,,,,,"Cambridge, artificial garden basin in Shelford",UNITED KINGDOM,,freshwater habitat,,,,CAM_LIB_001142,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002381,eukaryotes,,,,,Alexandrium monilatum CCMP3105,MMETSP0095,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0095"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0095</a>""",311494,,,(MMETSP0095) Alexandrium monilatum,,CAM_BM_002401,,,,,,,,,,,,,CAM_LIB_001147,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002382,eukaryotes,,,,,Alexandrium monilatum CCMP3105,MMETSP0096,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0096"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0096</a>""",311494,,,(MMETSP0096) Alexandrium monilatum,,CAM_BM_002402,,,,,,,,,,,,,CAM_LIB_001148,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002383,eukaryotes,,,,,Paraphysomonas imperforata PA2,MMETSP0103,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0103"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0103</a>""",37642,,,(MMETSP0103) Paraphysomonas imperforata,,CAM_BM_002403,,,,,,,,,,,,,CAM_LIB_001149,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002384,eukaryotes,,,,,Paraphysomonas imperforata PA2,MMETSP0104,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0104"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0104</a>""",37642,,,(MMETSP0104) Paraphysomonas imperforata,,CAM_BM_002404,,,,,,,,,,,,,CAM_LIB_001150,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002385,eukaryotes,,,,,Goniomonas pacifica CCMP1869,MMETSP0107,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0107"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0107</a>""",195067,,,(MMETSP0107) Goniomonas pacifica,,CAM_BM_002405,,,,,,,,,,,,,CAM_LIB_001151,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002386,eukaryotes,,,,,Goniomonas pacifica CCMP1869,MMETSP0108,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0108"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0108</a>""",195067,,,(MMETSP0108) Goniomonas pacifica,,CAM_BM_002406,,,,,,,,,,,,,CAM_LIB_001152,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002387,eukaryotes,,,,,Acanthoeca-like sp. 10tr,MMETSP0105,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0105"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0105</a>""",81532,,,(MMETSP0105) Acanthoeca-like sp.,,CAM_BM_002407,,,,,,,,,,,,,CAM_LIB_001153,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002388,eukaryotes,,,,,Acanthoeca-like sp. 10tr,MMETSP0106,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0106"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0106</a>""",81532,,,(MMETSP0106) Acanthoeca-like sp.,,CAM_BM_002408,,,,,,,,,,,,,CAM_LIB_001154,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002389,eukaryotes,,,,,Alexandrium monilatum CCMP3105,MMETSP0097,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0097"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0097</a>""",311494,,,(MMETSP0097) Alexandrium monilatum,,CAM_BM_002409,,,,,,,,,,,,,CAM_LIB_001155,Illumina,cDNA,,,,,,,,,,,,,
CAM_SMPL_002390,eukaryotes,,,,,  NY0313808BC1,MMETSP0098,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0098"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0098</a>""",96639,00:00.0,00:00.0,(MMETSP0098)   - Clam tissue,,CAM_BM_002410,Atlantic_Ocean,40.49657,-74.17591,,,"Raritan Bay, New York",UNITED STATES,,marine habitat,,,,CAM_LIB_001156,Illumina,cDNA,,2865,,10,,,,,,,,,
CAM_SMPL_002391,eukaryotes,,,,,  NY0313808BC1,MMETSP0099,"Additional information and downloadable files of this sample are available at <a href=http://camera.calit2.net/mmetsp/details.php?id=MMETSP0099"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0099</a>""",96639,00:00.0,00:00.0,(MMETSP0099)   - Clam tissue,,CAM_BM_002411,Atlantic_Ocean,40.49657,-74.17591,,,"Raritan Bay, New York",UNITED STATES,,marine habitat,,,,CAM_LIB_001157,Illumina,cDNA,,2866,,10,,,,,,,,,
