,false_crbb_num_transcripts
MMETSP0493,10000
MMETSP1037,80304
MMETSP0725,13934
MMETSP0315,4375
MMETSP1098,39198
MMETSP0057,64893
MMETSP0378,4000
MMETSP0208,5587
MMETSP0993,22041
MMETSP0941,1760
MMETSP0916,12517
MMETSP0995,25559
MMETSP1445,15951
MMETSP0818,12791
MMETSP1464,10137
MMETSP1392,537
MMETSP1417,6117
MMETSP0879,4869
MMETSP0437,3406
MMETSP0816,11580
