"","SampleName","n_seqs","total_annotation_names","unique_annotation_names","total_annotated_contigs","unique_annotations","annotations_w_false_crbb","total_OrthoDB","unique_OrthoDB","false_crbb_OrthoDB","total_Pfam","unique_Pfam","false_crbb_Pfam","total_Rfam","unique_Rfam","false_crbb_Rfam"
"105","MMETSP0199",24103,40055,11776,19384,9603,1302,9175,5936,754,30795,4518,632,85,30,5
"106","MMETSP0200",687,42394,9775,14643,7732,23,7646,4426,16,34610,4251,7,138,43,0
"107","MMETSP0201",169586,205814,34491,129657,44053,14058,39458,23087,6626,166167,25440,8380,189,43,8
"108","MMETSP0202",137008,146597,28755,98021,34152,12381,30820,18130,6275,115619,19270,6678,158,35,6
"109","MMETSP0205",33076,25702,9132,22322,8651,NA,8185,6068,NA,17021,3007,NA,496,179,NA
"110","MMETSP0206",25681,27814,10259,17382,9279,2596,8823,6707,1928,18752,3132,708,239,91,18
"111","MMETSP0208",42764,30903,10898,22163,9369,1229,10893,7329,909,19709,2800,320,301,106,39
"112","MMETSP0209",42255,40417,9577,36427,9192,1324,8566,5061,713,31788,5716,741,63,23,10
"113","MMETSP0210",37783,13522,8998,11230,8575,NA,9920,8660,NA,3494,384,NA,108,34,NA
"114","MMETSP0211",44971,30035,11900,20723,10628,NA,12433,9250,NA,17063,2393,NA,539,167,NA
"115","MMETSP0213",43586,31539,10936,26884,9863,2827,10736,7658,2069,20695,3472,873,108,36,15
"116","MMETSP0216",65706,93662,15712,49497,16213,3295,16202,10394,2040,77123,8623,1481,337,111,42
"117","MMETSP0224",74092,107850,21850,56480,22831,4984,22103,12515,2808,85574,12675,2489,173,69,21
"118","MMETSP0225",849,257,176,451,142,102,184,136,90,72,30,23,1,0,0
"119","MMETSP0227",103802,121085,27439,76505,29797,7861,35098,19678,4807,85689,14058,3540,298,63,18
"120","MMETSP0228",24588,162745,38097,91249,41390,2422,53399,28044,1625,109199,17890,877,147,28,1
"121","MMETSP0229",321,49,47,156,33,23,38,29,19,11,4,3,0,0,0
"122","MMETSP0232",342,623,410,324,272,50,315,311,52,288,1,0,20,7,0
"123","MMETSP0233",9596,24314,8046,8752,6643,2019,8636,8600,3021,15534,14,7,144,45,8
"124","MMETSP0234",9454,24777,8048,8632,6663,1872,8528,8490,2662,16087,14,4,162,38,5
"125","MMETSP0235",9594,19071,7429,8955,6531,3435,8863,8838,4902,10115,10,4,93,38,9
"126","MMETSP0251",18649,5765,2427,7894,NA,NA,3461,NA,NA,2188,NA,NA,116,NA,NA
"127","MMETSP0252",4,5,3,4,2,NA,3,2,NA,2,0,NA,0,0,NA
"128","MMETSP0253",66402,104642,18947,54958,20542,NA,18489,10671,NA,86111,12197,NA,42,11,NA
"129","MMETSP0258",58916,104637,18026,47635,20132,2627,17082,9790,1218,87439,11996,1589,116,24,4
"130","MMETSP0259",61314,104999,18242,48693,20610,2844,17273,9954,1328,87535,12248,1701,191,48,6
"131","MMETSP0267",111341,151003,35164,80242,39073,8836,50940,27826,6140,99885,15531,3084,178,41,16
"132","MMETSP0268",68103,72379,22425,48617,21903,1799,26423,15127,1528,45875,8744,388,81,17,1
"133","MMETSP0269",115754,160522,36304,83472,41298,8709,54095,29694,6103,106252,16139,2932,175,35,11
"134","MMETSP0270",149312,209216,40565,120819,47063,9782,53203,29202,5863,155579,23520,4521,434,59,29
"135","MMETSP0271",153198,207022,40343,122333,46496,10415,52837,28837,6029,153572,23768,5063,613,106,27
"136","MMETSP0272",149749,198077,39793,119243,45112,10163,51258,28027,6105,146404,22904,4757,415,63,23
"137","MMETSP0286",43188,40685,14111,27291,11806,2046,15194,8431,1496,25260,4735,568,231,61,15
"138","MMETSP0287",54406,73014,19824,42812,19497,4609,19873,11595,2956,52894,9509,1789,247,70,21
"139","MMETSP0288",45732,57421,17481,33704,13209,1827,17743,8762,1177,39006,6006,676,672,202,63
"140","MMETSP0290",56191,54756,16429,37920,13355,2929,16426,8769,1894,38159,5537,1128,171,63,24
"141","MMETSP0292",44889,60551,17705,30400,16449,4127,18845,11876,3132,41451,5842,1086,255,75,26
"142","MMETSP0294",52840,77223,19985,36244,18853,NA,22261,13828,NA,54615,6766,NA,347,104,NA
"143","MMETSP0295",1728,59923,17388,30522,15690,NA,18120,11258,NA,41585,5787,NA,218,71,NA
"144","MMETSP0296",3139,60933,17529,29283,15642,217,17950,10993,157,42675,6122,62,308,100,0
"145","MMETSP0308",46659,76531,19118,30755,17124,NA,18944,12660,NA,57297,6087,NA,290,98,NA
"146","MMETSP0312",18679,37061,8260,12100,6039,257,6614,4462,176,30214,2999,81,233,79,21
"147","MMETSP0313",22715,34791,10308,17605,8398,1520,8422,5419,990,26286,3927,607,83,27,10
"148","MMETSP0314",25394,42272,13398,19560,12972,2276,15629,11111,2074,26204,3042,241,439,135,34
"149","MMETSP0315",25364,38077,9831,17023,8567,1012,8634,5920,714,29201,4557,360,242,76,12
"150","MMETSP0316",19655,28541,8130,16072,7014,1678,6363,3728,976,22071,3828,768,107,29,12
"151","MMETSP0317",18385,25123,7564,14789,6306,1679,5789,3390,1004,19239,3351,725,95,29,12
"152","MMETSP0318",27058,36415,10139,21624,9110,2126,8138,4750,1186,28206,5127,1041,71,17,3
"153","MMETSP0319",868,55528,12793,27385,11277,9,11381,6410,7,43937,6726,1,210,63,0
