,kept,total,perc_kept,num_kmers,fp_rate
MMETSP0143,33095687,74212718,44.6%,159149901,0.000
MMETSP0132,8635705,30287807,28.5%,80807276,0.000
MMETSP0269,40621990,58604025,69.3%,206014165,0.001
MMETSP1117,23005269,59655019,38.6%,117548244,0.000
MMETSP0924,12405450,33574775,36.9%,88569410,0.000
MMETSP0997,14305822,31747257,45.1%,72181647,0.000
MMETSP0894,13407219,54898049,24.4%,76739577,0.000
MMETSP1365,23190814,50253431,46.1%,101166185,0.000
MMETSP0320,24269469,84891256,28.6%,88189780,0.000
MMETSP0176,25822588,48884865,52.8%,114118136,0.000
MMETSP0753,17500978,41545710,42.1%,61754557,0.000
MMETSP1446,11757552,41984251,28.0%,70927992,0.000
MMETSP0403,5733,5741,99.9%,161736,0.000
MMETSP0727,14791984,49417899,29.9%,60962740,0.000
MMETSP0451,3859568,26246498,14.7%,30024076,0.000
MMETSP1096,26877238,60912616,44.1%,121535018,0.000
MMETSP0209,20506158,65218344,31.4%,84300027,0.000
MMETSP1008,13184000,33911981,38.9%,73576021,0.000
MMETSP1391,14785329,39907578,37.0%,71092468,0.000
MMETSP0747,14284223,57763469,24.7%,61779480,0.000
MMETSP1399,12424853,43071360,28.8%,50577982,0.000
MMETSP1473,18669117,55365074,33.7%,100712445,0.000
MMETSP0963,10399956,37857264,27.5%,49541599,0.000
MMETSP1095,11505333,28147540,40.9%,51850470,0.000
MMETSP1130,8830988,41510857,21.3%,44650426,0.000
MMETSP0200,18926918,63896718,29.6%,66791300,0.000
MMETSP1155,23801829,55480230,42.9%,100943781,0.000
MMETSP0095,38974033,57709612,67.5%,173000047,0.001
MMETSP0201,46602315,55912854,83.3%,230997710,0.002
MMETSP1175,17081876,29314523,58.3%,117786763,0.000
MMETSP1098,22371861,50860577,44.0%,141099606,0.000
MMETSP1466,15749162,44650350,35.3%,90560016,0.000
MMETSP0101,25355099,81052034,31.3%,114883391,0.000
MMETSP1067,24511596,56430073,43.4%,126952454,0.000
MMETSP0058,47942,48024,99.8%,1116088,0.000
MMETSP0736,25831678,45461756,56.8%,102244792,0.000
MMETSP1138,17656454,42332308,41.7%,99341168,0.000
MMETSP0896,11210867,57928200,19.4%,65466567,0.000
MMETSP0006,18575869,42843795,43.4%,93740474,0.000
MMETSP1444,15272853,47634547,32.1%,91022528,0.000
MMETSP1363,21556984,54641817,39.5%,98141262,0.000
MMETSP0308,22540578,47006820,48.0%,98167659,0.000
MMETSP0962,4406891,36370048,12.1%,31420360,0.000
MMETSP0998,20738015,62796691,33.0%,93855697,0.000
MMETSP0369,38330700,48976038,78.3%,186784752,0.001
MMETSP0911,10675099,26333440,40.5%,48038619,0.000
MMETSP0909,22422743,52982986,42.3%,106539952,0.000
MMETSP0206,9167722,27634076,33.2%,68146933,0.000
MMETSP0964,16301213,57446062,28.4%,73696111,0.000
MMETSP0708,10793419,59696715,18.1%,73073262,0.000
MMETSP0578,15502184,51285533,30.2%,75135568,0.000
MMETSP1124,19778345,49888705,39.6%,116362523,0.000
MMETSP1309,12502998,43400245,28.8%,68398424,0.000
MMETSP1061,22148045,70278353,31.5%,93018757,0.000
MMETSP1450,24267608,48704501,49.8%,139890718,0.000
