,total_annotated_contigs,unique_annotations,annotations_w_false_crbb,total_OrthoDB,unique_OrthoDB,false_crbb_OrthoDB,total_Pfam,unique_Pfam,false_crbb_Pfam,total_Rfam,unique_Rfam,false_crbb_Rfam
MMETSP0918,26170,10593,1364,10373,6029,818,33995,6150,620,82,23,3
MMETSP0920,25201,10173,,9797,6102,,26132,5743,,169,55,
MMETSP0922,18854,8263,,8654,6241,,13178,4164,,60,25,
MMETSP0923,8247,4125,,3906,2899,,5213,1714,,42,16,
MMETSP0924,20587,8939,4367,9418,6805,3277,12590,4266,1780,28,9,6
MMETSP0925,18908,8153,,8793,6378,,11666,4125,,37,15,
MMETSP0929,8209,5826,204,6230,3753,154,26857,2720,49,276,83,21
MMETSP0930,8338,5299,270,5021,3178,207,15192,2354,61,126,39,4
MMETSP0932,3250,1496,276,1518,913,188,1917,621,80,101,39,19
MMETSP0933,8459,5708,12,6071,3492,8,26097,2830,3,110,35,0
MMETSP0936,8368,5911,111,5998,3695,68,24859,2728,44,147,53,10
MMETSP0937,423,284,25,275,159,15,1214,147,11,1,0,0
MMETSP0938,8376,5862,391,6058,3668,240,24190,2693,143,221,67,25
MMETSP0939,8160,6321,454,6764,4315,332,23806,2389,117,184,56,17
MMETSP0941,12627,7942,458,8440,5505,357,33853,3750,109,162,49,12
MMETSP0942,23156,13505,3338,17055,11088,2743,27830,3187,637,302,91,36
MMETSP0943,29445,16748,2672,19865,11565,1912,41975,6044,787,523,161,68
MMETSP0944,29116,16281,2653,19514,11571,1909,40918,5808,776,1054,322,110
MMETSP0945,17404,10055,3200,8879,6438,2161,27994,4195,1119,220,72,30
MMETSP0946,16433,9378,3879,8253,6063,2638,24425,3856,1373,179,53,22
MMETSP0947,31746,14538,2578,13005,8358,1545,63410,7701,1143,161,53,18
MMETSP0948,30331,13883,,12342,8035,,57092,7211,,178,47,
MMETSP0949,29810,13546,,12018,7829,,55997,7050,,133,40,
MMETSP0950,31782,14394,2607,12830,8234,1564,62035,7556,1141,256,81,21
MMETSP0954,15506,8665,1106,7810,5197,651,32437,4385,490,118,46,13
MMETSP0955,13920,7780,1239,6929,4657,775,24925,3881,487,230,73,26
MMETSP0956,13850,7657,1531,6850,4596,957,23685,3740,605,337,108,43
MMETSP0957,12753,7171,1354,6282,4227,836,21135,3477,537,243,76,28
MMETSP0958,17193,8968,102,9117,5733,64,29469,3896,41,291,90,0
MMETSP0959,17939,9307,1038,9685,6089,677,30419,4040,365,648,209,51
MMETSP0960,16462,8788,109,9083,5713,69,30819,3848,42,238,76,11
MMETSP0961,16353,8910,17,9277,5754,8,34977,3940,10,256,87,0
MMETSP0962,7946,4810,,5326,3434,,8907,1687,,136,39,
MMETSP0963,15615,8535,,9764,6151,,18884,3209,,106,45,
MMETSP0964,22042,12192,1829,14053,8658,1311,34914,4574,556,432,128,41
MMETSP0965,20843,11134,2091,12809,7881,1512,29467,4206,636,233,75,11
MMETSP0970,30331,12662,1763,13792,8021,1183,35802,6359,714,51,14,6
MMETSP0971,31594,13439,64,15252,8849,42,40632,6768,22,83,24,0
MMETSP0972,30357,12788,39,14057,8185,25,37274,6433,16,59,16,0
MMETSP0973,31244,12826,1619,14373,8274,1151,37013,6663,602,56,16,0
MMETSP0974,28670,16999,,21627,12649,,46630,5725,,196,50,
MMETSP0975,27960,16406,38,20440,11901,31,44058,5537,10,189,54,0
MMETSP0976,29015,17481,,22182,13146,,47083,5664,,418,114,
MMETSP0977,27970,17072,,21275,12693,,43944,5542,,93,18,
MMETSP0982,34542,19058,1339,25116,15025,1210,47305,6466,160,451,100,21
MMETSP0983,34068,18317,1558,23861,14086,1316,44558,6357,273,309,71,13
MMETSP0984,32502,18199,1633,23099,13814,1392,43973,6119,289,619,146,29
MMETSP0985,32313,17912,1855,22777,13636,1592,43487,6158,324,375,89,24
MMETSP0986,49735,23872,5753,29270,16457,3884,79169,9021,2047,223,61,16
MMETSP0987,50246,24057,5505,29806,16647,3749,79197,9143,1914,193,61,15
MMETSP0988,50664,23917,6159,29407,16406,4187,77138,9116,2166,241,71,23
MMETSP0989,50571,24525,5739,30124,16937,3892,81758,9236,2024,237,63,20
MMETSP0990,50040,20758,4435,26953,15064,3374,46079,8705,1219,362,113,25
MMETSP0991,70759,29030,3466,39633,21802,2690,72598,11670,1016,288,73,8
MMETSP0992,56032,24164,6303,31700,17759,4557,51728,9103,1994,239,72,27
MMETSP0993,67010,27646,3642,37629,20570,2882,67518,11131,1000,298,80,18
MMETSP0994,34090,20722,6309,25238,15657,4682,39091,6204,1754,95,22,7
MMETSP0995,33158,19886,5778,24319,14823,4244,37707,6181,1673,84,22,12
MMETSP0996,33272,20129,6121,24642,15193,4543,38688,6095,1728,94,17,4
MMETSP0997,34101,20885,5798,25560,15843,4310,40697,6322,1635,130,30,8
MMETSP0998,29134,12168,,11560,6895,,47468,6957,,311,94,
MMETSP1001,25521,11101,1638,10487,6417,988,43783,6186,677,521,165,61
MMETSP1002,2716,1651,,1603,1234,,1709,524,,117,38,
MMETSP1005,20480,8809,1580,8031,5054,973,28358,4738,645,148,55,15
MMETSP1006,24256,15095,,18810,11891,,26811,4492,,65,11,
MMETSP1007,24059,14806,,18681,11744,,26417,4470,,50,11,
MMETSP1008,29080,17884,5431,22405,13937,4056,32386,5500,1526,114,28,6
MMETSP1009,21923,13336,4479,16983,10728,3406,23262,3972,1199,94,22,4
MMETSP1010,27446,11314,33,10736,6569,19,41096,6502,12,263,86,1
MMETSP1012,51906,19035,,22294,13900,,91805,12501,,949,363,
MMETSP1013,27414,11247,,10690,6594,,41621,6250,,135,44,
MMETSP1015,98270,33133,9780,28693,17246,4630,126798,19510,5797,161,46,20
MMETSP1016,99015,34049,9491,29339,17550,4356,133473,20086,5745,179,51,26
MMETSP1017,97563,33011,9831,28714,17210,4566,125239,19404,5940,155,41,24
MMETSP1018,1012,797,,895,791,,103,11,,54,18,
MMETSP1019,6521,4115,,5708,4509,,851,139,,1653,492,
MMETSP1032,99600,52109,10364,67074,37066,7657,139064,19243,3106,362,73,9
MMETSP1033,97748,51218,10036,65965,36477,7453,138934,19047,2967,292,53,7
MMETSP1034,97833,49808,10133,64455,34854,7440,133644,19168,3065,330,72,12
MMETSP1035,97056,51796,9154,67117,37464,6934,145814,19037,2628,367,69,17
MMETSP1036,102053,40173,11263,41605,23170,6046,146712,21091,5917,146,23,8
MMETSP1037,101869,39182,12124,40637,22572,6550,142018,20710,6309,285,64,23
MMETSP1038,102399,40826,,42064,23301,,152215,21575,,161,25,
MMETSP1039,24491,10034,,9483,5452,,33304,5970,,92,26,
MMETSP1040,22151,9096,158,8764,5138,94,30339,5205,68,213,63,10
MMETSP1041,33915,17120,4034,19527,11100,2725,56168,7170,1431,161,46,13
MMETSP1042,40800,20438,4862,23882,13551,3302,74440,8161,1705,259,76,29
MMETSP1043,34595,17317,4691,19526,11056,3019,58506,7194,1799,163,48,13
MMETSP1047,47894,23279,7697,26524,15499,5008,77680,9286,2960,207,52,12
MMETSP1048,30790,14425,3527,14708,8662,2105,63707,7022,1584,148,40,8
MMETSP1049,34870,14571,3026,14655,8855,1862,57383,7556,1192,286,81,26
MMETSP1050,45756,21930,,26398,16290,,61304,7552,,257,76,
MMETSP1052,37757,16616,3143,19181,10674,1912,59901,8684,1323,432,164,43
MMETSP1054,34029,16135,2357,17481,9859,1505,57489,8327,914,319,107,21
MMETSP1055,36861,16574,136,19445,10941,89,56454,8541,52,530,131,1
MMETSP1057,173,62,13,50,26,7,206,40,4,4,2,1
MMETSP1058,26583,11184,591,11292,6309,348,46914,6559,292,188,52,11
MMETSP1059,19435,8982,594,8795,4870,313,35779,5197,294,145,35,11
MMETSP1060,22800,10881,942,12852,7221,691,37385,5091,282,447,128,28
MMETSP1061,27234,12042,866,14563,8084,686,36628,5689,217,595,177,39
MMETSP1062,32128,13311,1480,12909,7479,862,55547,7856,737,471,161,45
MMETSP1063,30703,12925,1202,12532,7299,691,55867,7691,607,262,84,20
MMETSP1064,22812,9196,852,8494,5325,489,40555,5304,410,264,74,9
MMETSP1065,32837,12061,896,11910,7107,566,44841,7250,365,241,70,13
MMETSP1066,43079,15444,3279,15291,9082,1859,51474,8404,1637,218,53,9
MMETSP1067,43668,16870,2745,20392,11409,1898,43502,7678,997,316,106,27
MMETSP1068,49488,26153,3601,33634,20164,2837,60232,9167,857,518,161,47
MMETSP1070,28820,13702,1170,15280,8837,805,48328,6611,404,296,87,26
MMETSP1071,32816,13694,907,15544,8542,620,43293,7131,327,383,113,31
MMETSP1074,108536,35806,8833,34329,18832,4558,123465,21772,4854,410,112,24
MMETSP1075,110158,36388,8096,35380,19195,4196,129995,22111,4420,581,154,37
MMETSP1080,14794,10679,64,12362,7968,58,30017,3317,5,148,46,1
MMETSP1081,29179,13766,121,12786,8067,83,42801,6973,37,184,50,0
MMETSP1082,11737,8489,,9694,6096,,38303,3321,,166,43,
MMETSP1083,35065,17860,,19882,12287,,46835,7341,,164,48,
MMETSP1084,13548,9775,819,11319,7326,641,33718,3407,218,159,47,9
MMETSP1085,9862,6770,118,7786,4634,80,26086,2980,35,315,104,5
MMETSP1086,15765,8884,310,9270,6254,225,20640,3432,92,195,49,4
MMETSP1089,39523,21959,4715,23636,15849,3471,67352,7957,1402,290,104,32
MMETSP1090,32580,19312,3838,24203,14573,2862,39370,6209,1047,102,22,4
MMETSP1091,36224,15715,5023,18211,10616,3389,39139,7312,1873,187,49,6
MMETSP1094,64944,28018,9437,30918,18719,6313,64913,11274,3417,312,84,30
MMETSP1095,20750,9302,323,8425,5836,200,32084,4574,134,47,16,1
MMETSP1096,53487,23637,,25654,15078,,55549,10395,,314,93,
MMETSP1097,12964,7107,,8174,5583,,10091,2308,,481,157,
MMETSP1098,47925,20320,8023,21870,14073,5258,56379,9126,3097,279,85,27
MMETSP1100,67607,34721,10377,44378,27600,8001,64512,10981,2828,209,48,16
MMETSP1101,56435,25438,10168,28202,17373,6867,68248,9884,3675,299,72,19
MMETSP1102,66657,25817,7770,29322,18250,5463,64791,10000,2674,435,128,30
MMETSP1103,21499,11337,1001,9976,6429,581,55972,5848,481,379,117,39
MMETSP1104,27678,16906,4432,20018,13690,3677,40883,4224,838,190,56,9
MMETSP1105,25437,10493,1683,10224,6560,1002,42129,5342,768,91,30,9
MMETSP1106,28272,16519,2419,20042,11980,1886,42851,5654,584,137,34,13
MMETSP1107,21770,11172,1766,11547,7190,1087,37748,4628,740,208,63,16
MMETSP1110,110729,44029,12025,44462,24905,6506,159725,23884,6213,224,48,13
MMETSP1114,45842,18075,3510,25975,14324,2805,39311,5947,855,183,59,29
MMETSP1115,59806,23118,4923,20557,11391,2579,91891,13603,2581,177,49,14
MMETSP1116,52689,19921,5514,17441,9726,2857,69260,12035,2894,308,90,23
MMETSP1117,49823,18963,5103,16659,9438,2745,64067,11176,2595,287,88,19
MMETSP1122,59609,23143,4594,20787,11539,2480,92930,13597,2369,83,13,3
MMETSP1123,47390,17063,5452,15128,8907,2903,51642,9825,2730,315,101,41
MMETSP1124,47625,17800,5846,15798,9169,3140,54322,10352,2968,436,132,35
MMETSP1125,54780,21646,5448,19224,10760,2740,80181,12578,2984,303,86,34
MMETSP1126,75,39,4,42,19,3,126,25,0,0,0,0
MMETSP1127,22605,12252,967,14918,9068,810,34325,4247,178,247,52,9
MMETSP1128,21560,11635,1017,13881,8392,833,32553,4158,194,211,42,12
MMETSP1129,21762,10878,2107,11436,6974,1378,35204,4908,793,112,35,7
MMETSP1130,831,360,34,393,254,26,844,162,5,19,9,3
MMETSP1131,8137,3615,284,3628,2455,197,7207,1624,73,303,116,30
MMETSP1132,23881,11685,2208,12397,7684,1459,37145,5211,817,185,51,10
MMETSP1136,38295,20049,4972,23377,14580,3727,42073,7271,1411,181,40,9
MMETSP1137,22028,11539,169,12497,7876,119,23706,4597,53,292,93,1
MMETSP1138,28446,14888,4391,16623,10232,3113,32488,5965,1436,272,73,15
MMETSP1139,19994,10655,2307,12300,7212,1600,27705,4185,770,105,33,12
MMETSP1140,22542,11368,2299,12898,7466,1563,28921,4836,755,354,132,23
MMETSP1141,26965,15550,1818,18796,11455,1511,40553,5129,345,265,76,21
MMETSP1142,29160,16642,2006,20376,12642,1707,40026,5271,344,329,85,14
MMETSP1143,30958,17857,2684,21826,13755,2266,41403,5369,467,262,70,21
MMETSP1144,29079,16891,1939,20611,12922,1612,40003,5210,377,364,93,13
MMETSP1147,1068,433,283,543,431,257,325,88,45,19,6,6
MMETSP1148,69,28,,36,29,,14,4,,5,1,
MMETSP1150,44150,27648,4534,34632,21961,3603,48243,8204,1042,185,45,12
MMETSP1151,42486,26282,5195,32730,20353,4003,44925,8115,1331,250,70,16
MMETSP1152,45087,28193,3611,35717,22607,2893,50920,8571,840,159,40,11
MMETSP1153,43923,27858,3667,35059,22309,2955,50939,8370,833,165,42,16
MMETSP1154,43929,27493,3599,34718,21947,2894,49746,8235,813,141,30,4
MMETSP1155,44046,27892,3113,35239,22210,2490,51995,8451,714,131,31,10
MMETSP1156,43295,27225,3663,34334,21668,2924,49998,8221,847,79,17,7
MMETSP1157,43986,27877,3190,35328,22342,2593,52407,8385,704,93,22,7
MMETSP1159,8613,5444,226,4890,3363,149,17162,2589,75,285,92,24
MMETSP1160,17194,9126,822,10217,6024,564,39536,4476,301,120,21,6
MMETSP1161,11222,7004,,6456,4443,,22118,3180,,300,92,
MMETSP1162,31496,18262,,22713,14260,,34447,5815,,225,54,
MMETSP1163,39834,24136,,35327,23736,,61542,7099,,638,203,
MMETSP1164,24778,16364,2214,20828,14044,1823,30483,4025,435,136,40,12
MMETSP1165,21325,15443,239,17552,12906,202,30870,3399,38,284,86,1
MMETSP1166,33388,20336,3793,27925,18474,3098,54365,5975,1044,428,132,74
MMETSP1167,32192,15068,3215,14762,9472,2166,47656,7002,1142,407,135,39
MMETSP1169,27862,17088,3325,18908,11762,2601,48192,6697,794,139,32,3
MMETSP1170,9378,5853,632,7123,4692,525,9360,1752,113,382,114,33
MMETSP1171,15771,7277,1370,6512,3975,814,22333,4101,590,290,85,24
MMETSP1172,11331,6437,545,5701,3830,371,23442,3307,184,72,33,7
MMETSP1173,27438,13650,1628,15726,8965,1172,43331,6390,501,366,117,26
MMETSP1174,43853,16876,3002,16616,10014,1777,53608,9091,1328,200,53,17
MMETSP1175,36767,15302,5782,17626,10855,4232,37558,6504,1842,193,53,7
MMETSP1176,25502,10875,,9654,5772,,33527,6039,,132,41,
MMETSP1177,25140,11310,,10893,7156,,38116,5156,,202,89,
MMETSP1178,19242,9788,817,10692,6617,657,20028,4327,175,369,109,27
MMETSP1180,14350,7568,1831,7314,4779,1207,18259,3359,672,238,65,21
MMETSP1309,13393,7784,571,8338,5066,375,23618,3692,148,2217,713,252
MMETSP1310,32069,20374,3117,22150,13728,2261,57669,8092,935,395,113,29
MMETSP1311,11927,7349,1205,8520,4941,835,16022,3327,401,219,63,15
MMETSP1312,9486,6498,,7409,4425,,24230,2837,,224,72,
MMETSP1315,18935,11219,1219,13850,8335,961,26298,4157,274,351,106,21
MMETSP1316,14721,8095,297,8782,5177,197,20004,3908,105,296,92,0
MMETSP1317,11289,7886,2948,8323,6829,2263,11529,2002,748,1613,525,148
MMETSP1318,25170,13713,2052,14078,8421,1344,41838,6426,749,181,61,13
MMETSP1319,26309,15540,2618,17524,10649,1880,36812,6051,814,223,72,17
MMETSP1320,22468,12117,2008,13757,7990,1340,34157,4942,724,109,36,10
MMETSP1321,24584,12565,2011,13599,7885,1242,43032,5592,843,261,79,21
MMETSP1322,25522,11214,2287,11996,7000,1465,31512,5577,925,89,20,2
MMETSP1323,22842,11530,2725,13460,8139,1980,24488,4259,788,151,38,13
MMETSP1324,32329,16204,2480,20403,12216,1915,42003,6016,612,310,83,20
MMETSP1325,27435,11303,,14031,8454,,23437,4741,,1755,519,
MMETSP1326,33837,22708,4974,27856,18663,4190,36605,5191,861,242,56,15
MMETSP1327,13934,8237,640,8818,5166,445,30847,3895,211,112,34,5
MMETSP1328,23767,13161,2441,15191,8720,1522,39663,5444,1012,272,78,16
MMETSP1329,25084,15649,81,20166,12414,63,28387,4915,20,128,42,0
MMETSP1330,13497,8718,1927,8796,5506,1276,26341,3936,705,551,179,54
MMETSP1333,56626,23750,8180,22320,14298,5038,61193,11303,3464,364,92,24
MMETSP1334,40780,20258,4683,23705,13948,3221,42465,8247,1642,451,115,24
MMETSP1335,20488,10931,2451,12049,7321,1694,25160,4411,811,91,25,9
MMETSP1336,22745,9718,1177,8916,5297,699,33743,5637,544,64,20,4
MMETSP1338,82556,31239,,27170,16147,,119436,17952,,242,56,
MMETSP1339,16769,9495,,9428,6070,,24969,4285,,195,64,
MMETSP1344,89062,40181,,60622,36738,,138129,16796,,933,261,
MMETSP1345,14947,8637,,7921,5337,,51853,4051,,166,52,
MMETSP1346,26876,12340,,13217,8806,,46390,7078,,594,180,
MMETSP1347,13584,7274,199,6415,4327,132,19655,3601,65,64,25,2
MMETSP1348,17167,9447,1464,8384,5499,907,32700,4774,564,157,55,24
MMETSP1349,15174,8167,801,7438,4896,507,25386,4180,282,154,54,20
MMETSP1352,23197,9054,1625,10979,5974,1035,26244,4582,667,119,39,5
MMETSP1353,12772,6833,493,7041,4284,330,19585,3059,169,119,36,5
MMETSP1354,14302,7255,408,7415,4626,286,19141,3362,132,113,36,1
MMETSP1355,31125,16934,4898,20481,11834,3305,49285,6151,1769,347,107,27
MMETSP1356,31419,16459,4398,18027,10558,2893,48614,6764,1623,359,110,34
MMETSP1357,41995,23339,5644,27864,16582,4099,67011,8061,1668,315,92,30
MMETSP1358,28326,12881,897,12723,7502,658,36716,6337,241,241,91,13
MMETSP1359,27013,12524,1857,12698,7588,1219,36762,6730,652,460,138,23
MMETSP1360,32514,12465,1708,13009,7668,1058,38637,6573,691,234,80,22
MMETSP1361,26428,11601,947,10378,6458,627,43721,6789,370,272,81,22
MMETSP1362,21781,9705,1161,8808,5362,644,41933,5451,594,221,70,24
MMETSP1363,41648,24925,3190,32017,19517,2538,49120,8210,746,154,49,16
MMETSP1364,39996,24287,3438,30802,18898,2724,46264,7753,772,179,47,20
MMETSP1365,43068,26506,3127,34034,21264,2470,50627,8417,723,121,25,8
MMETSP1366,44234,27646,2621,35436,22460,2158,56263,8705,533,146,35,11
MMETSP1367,63948,26106,4511,23661,13299,2521,108193,15475,2232,568,161,33
MMETSP1369,70182,29156,8389,26822,15966,4955,101739,15583,3785,683,203,46
MMETSP1370,58758,24200,7721,23076,15218,5273,75756,11466,2817,651,205,66
MMETSP1371,61650,26676,7611,25683,17214,5337,84732,12252,2657,341,118,36
MMETSP1374,59210,22976,5541,18892,11269,2864,79987,13765,3052,375,105,40
MMETSP1377,101908,46088,24314,43902,31153,16288,95649,18093,8725,1225,391,83
MMETSP1380,26967,9971,2626,9864,7369,1900,22698,3524,816,173,53,9
MMETSP1381,15497,7981,,8887,5356,,18520,3357,,215,85,
MMETSP1384,60483,20704,5135,21030,12956,3281,50909,10608,2127,79,28,11
MMETSP1385,49171,16883,71,18347,10735,55,44606,8713,22,37,13,0
MMETSP1386,11689,8532,53,9824,6222,36,37371,3324,16,119,28,2
MMETSP1387,12775,9693,390,11052,7303,330,35328,3336,88,158,41,13
MMETSP1388,44339,27102,3001,34503,21191,2397,57701,8602,697,104,27,13
MMETSP1389,38601,16548,4871,19514,11368,3274,41941,7710,1817,204,63,16
MMETSP1390,240,143,2,136,68,0,383,81,1,4,1,0
MMETSP1391,27973,13978,3396,17256,9976,2579,30717,4804,885,104,26,8
MMETSP1392,27412,13778,100,16407,9400,75,38710,5629,28,178,43,0
MMETSP1393,14054,8561,2642,9661,5932,1815,21801,3240,898,70,23,9
MMETSP1394,23748,10630,60,9567,5749,25,39633,5816,37,143,41,0
MMETSP1395,25490,12873,2879,11963,8737,1906,45065,4961,1058,489,150,29
MMETSP1396,22813,12828,,14043,11117,,20450,3169,,361,115,
MMETSP1397,24989,10778,,12735,8474,,105629,6085,,1037,305,
MMETSP1399,8248,5780,216,6028,3384,154,25038,2845,79,165,42,8
MMETSP1400,13748,10210,495,11703,7701,400,37039,3495,116,140,42,10
MMETSP1401,14230,10550,713,12143,7907,587,30485,3307,145,105,25,8
MMETSP1402,14396,11198,1851,12759,9079,1548,26686,2882,327,117,35,20
MMETSP1403,13810,10050,608,11664,7677,482,35103,3311,151,99,25,9
MMETSP1404,14421,10031,927,11774,7531,730,34176,3572,223,70,23,8
MMETSP1405,28392,11805,1259,12269,7339,805,37346,5970,512,177,55,21
MMETSP1406,27100,11468,974,11901,7086,620,37040,5789,416,99,30,7
MMETSP1407,28604,11740,1135,12287,7325,702,37476,5966,488,78,22,8
MMETSP1408,26685,11515,804,11952,7108,523,38794,5950,344,89,25,5
MMETSP1409,26634,11540,,11903,7065,,38299,5964,,100,25,
MMETSP1410,27332,11603,762,12306,7279,507,39135,6036,299,132,39,3
MMETSP1411,27332,11525,1066,12037,7182,706,38180,5935,412,68,19,4
MMETSP1412,13,7,3,4,4,2,6,2,0,0,0,0
MMETSP1413,26754,11465,1219,11723,7008,776,36256,5818,495,62,12,6
MMETSP1414,26682,11520,1051,11944,7098,669,37358,5816,447,69,17,7
MMETSP1415,27506,11510,1111,11916,7059,672,36448,5845,515,64,12,4
MMETSP1416,27208,11645,887,12064,7215,545,38543,5981,397,82,20,8
MMETSP1417,26456,11518,913,11951,7094,585,38286,5835,374,76,22,10
MMETSP1418,26715,11735,29,12034,7156,24,39452,5972,7,84,24,0
MMETSP1419,26940,11644,799,12173,7152,495,39672,6003,349,92,26,10
MMETSP1420,26691,11540,,11977,7140,,38227,5827,,71,21,
MMETSP1421,27146,11496,,11896,7052,,36565,5799,,278,77,
MMETSP1422,27137,11511,1095,11827,7090,670,37800,5771,475,105,29,6
MMETSP1423,22835,10457,117,11388,6451,96,31968,4911,30,79,23,0
MMETSP1424,34015,14682,4400,15876,8979,2725,46615,6577,1799,193,54,15
MMETSP1425,38071,16452,4919,18446,10370,3176,52320,7175,1895,227,61,18
MMETSP1426,74229,33386,8165,41437,23762,5687,110610,13645,2688,620,150,31
MMETSP1428,27300,10895,1248,10619,6296,733,34847,6265,575,145,41,8
MMETSP1429,18348,8659,757,8004,5116,526,21291,4720,235,515,176,43
MMETSP1432,18305,8645,245,7531,4611,145,27329,4797,111,98,25,1
MMETSP1433,19763,10564,2166,11468,7752,1555,59699,5025,760,390,135,55
MMETSP1434,15160,6451,,5823,3531,,13161,3601,,91,30,
MMETSP1435,5386,2795,,2538,1811,,4510,1313,,269,79,
MMETSP1436,74521,29126,16311,35897,19077,10541,57621,12533,6491,83,20,3
MMETSP1437,20970,8649,,7742,4936,,21923,4663,,354,105,
MMETSP1438,28370,12848,5093,12338,7886,3120,33916,5611,2124,134,46,10
MMETSP1439,58792,23395,9265,25933,14047,5547,61425,12232,4331,91,24,10
MMETSP1440,54433,21213,6081,23760,14121,3829,55115,10095,2620,121,29,9
MMETSP1441,60756,29937,8267,39948,21460,5799,70021,11520,2810,85,27,8
MMETSP1442,18732,7829,797,8551,4651,559,22679,4159,261,250,77,20
MMETSP1443,16057,6898,1316,5844,3613,800,17231,4159,646,119,38,7
MMETSP1444,31179,17582,5109,21011,12992,3793,34950,6159,1500,97,18,6
MMETSP1445,27865,14757,3192,15420,9363,2129,42420,6510,1171,155,43,8
MMETSP1446,13474,7776,790,8203,5217,541,22451,3822,260,319,91,26
MMETSP1447,27834,11090,1728,11446,6700,1138,29043,5827,669,181,57,13
MMETSP1449,23537,10439,,9540,5692,,36462,6268,,117,40,
MMETSP1450,47553,29003,5269,34776,22213,4235,54782,9364,1203,728,167,38
MMETSP1451,40131,14734,2587,18904,9303,1674,41710,6856,995,227,70,23
MMETSP1452,18437,12714,2373,15636,9806,1924,24310,3889,513,567,140,43
MMETSP1453,12621,8174,1336,9508,5812,988,19654,3439,398,222,67,20
MMETSP1456,10795,7093,595,7989,4784,435,21746,3112,166,173,63,18
MMETSP1459,12869,7577,1194,7929,4604,792,19175,3580,440,200,63,15
MMETSP1460,9949,6063,118,6554,3674,83,23343,3001,40,208,64,2
MMETSP1462,83790,36719,,45932,23543,,106825,17779,,172,41,
MMETSP1463,18670,11082,,13291,7813,,22577,4243,,260,69,
MMETSP1464,22682,14434,2361,18244,10557,1803,31097,4967,601,244,69,23
MMETSP1465,14318,8544,128,9915,5907,96,16591,3773,37,671,208,6
MMETSP1466,23159,13393,3056,16093,9889,2319,31398,4497,795,101,29,5
MMETSP1467,26400,16475,2428,20435,13247,1874,42694,5048,622,358,101,26
MMETSP1468,25503,12881,3662,15858,9196,2672,31574,4965,1081,101,30,6
MMETSP1469,12158,7899,950,8994,5525,694,26141,3395,271,176,68,17
MMETSP1470,34961,21721,4237,23535,14859,2930,53354,9024,1403,401,136,34
MMETSP1471,12168,6702,1441,7030,4040,939,14196,3211,504,1139,369,151
MMETSP1472,10054,5793,280,5607,3283,190,11473,2872,91,308,94,2
MMETSP1473,13811,8648,87,9770,6001,61,27194,3639,28,181,53,1
MMETSP1474,32574,19038,4250,18921,12050,2701,62265,8241,1672,157,46,19
MMETSP1475,11385,7217,135,7047,4515,88,35205,3429,48,178,56,4
