,total_annotated_contigs,unique_annotations,annotations_w_false_crbb,total_OrthoDB,unique_OrthoDB,false_crbb_OrthoDB,total_Pfam,unique_Pfam,false_crbb_Pfam,total_Rfam,unique_Rfam,false_crbb_Rfam
MMETSP0190,57700,17670,5350,19456,12542,3688,38622,8562,2011,220,75,19
MMETSP0191,80992,29944,8381,28780,18129,4903,76161,15869,3896,397,123,49
MMETSP0196,4452,2122,,2036,1534,,4120,827,,48,14,
MMETSP0197,8328,3399,,3703,2745,,6407,1398,,48,20,
MMETSP0198,19357,9669,1032,9345,5986,591,32191,4534,484,89,34,15
MMETSP0199,19384,9603,1302,9175,5936,754,30795,4518,632,85,30,5
MMETSP0200,14643,7732,23,7646,4426,16,34610,4251,7,138,43,0
MMETSP0201,129657,44053,14058,39458,23087,6626,166167,25440,8380,189,43,8
MMETSP0202,98021,34152,12381,30820,18130,6275,115619,19270,6678,158,35,6
MMETSP0205,22322,8651,,8185,6068,,17021,3007,,496,179,
MMETSP0206,17382,9279,2596,8823,6707,1928,18752,3132,708,239,91,18
MMETSP0208,22163,9369,1229,10893,7329,909,19709,2800,320,301,106,39
MMETSP0209,36427,9192,1324,8566,5061,713,31788,5716,741,63,23,10
MMETSP0210,11230,8575,,9920,8660,,3494,384,,108,34,
MMETSP0211,20723,10628,,12433,9250,,17063,2393,,539,167,
MMETSP0213,26884,9863,2827,10736,7658,2069,20695,3472,873,108,36,15
MMETSP0216,49497,16213,3295,16202,10394,2040,77123,8623,1481,337,111,42
MMETSP0223,904,284,,445,316,,198,56,,116,36,
MMETSP0224,56480,22831,4984,22103,12515,2808,85574,12675,2489,173,69,21
MMETSP0225,451,142,102,184,136,90,72,30,23,1,0,0
MMETSP0227,76505,29797,7861,35098,19678,4807,85689,14058,3540,298,63,18
MMETSP0228,91249,41390,2422,53399,28044,1625,109199,17890,877,147,28,1
MMETSP0229,156,33,23,38,29,19,11,4,3,0,0,0
MMETSP0232,324,272,50,315,311,52,288,1,0,20,7,0
MMETSP0233,8752,6643,2019,8636,8600,3021,15534,14,7,144,45,8
MMETSP0234,8632,6663,1872,8528,8490,2662,16087,14,4,162,38,5
MMETSP0235,8955,6531,3435,8863,8838,4902,10115,10,4,93,38,9
MMETSP0251,7894,,,3461,,,2188,,,116,,
MMETSP0252,4,2,,3,2,,2,0,,0,0,
MMETSP0253,54958,20542,,18489,10671,,86111,12197,,42,11,
MMETSP0258,47635,20132,2627,17082,9790,1218,87439,11996,1589,116,24,4
MMETSP0259,48693,20610,2844,17273,9954,1328,87535,12248,1701,191,48,6
MMETSP0267,80242,39073,8836,50940,27826,6140,99885,15531,3084,178,41,16
MMETSP0268,48617,21903,1799,26423,15127,1528,45875,8744,388,81,17,1
MMETSP0269,83472,41298,8709,54095,29694,6103,106252,16139,2932,175,35,11
MMETSP0270,120819,47063,9782,53203,29202,5863,155579,23520,4521,434,59,29
MMETSP0271,122333,46496,10415,52837,28837,6029,153572,23768,5063,613,106,27
MMETSP0272,119243,45112,10163,51258,28027,6105,146404,22904,4757,415,63,23
MMETSP0286,27291,11806,2046,15194,8431,1496,25260,4735,568,231,61,15
MMETSP0287,42812,19497,4609,19873,11595,2956,52894,9509,1789,247,70,21
MMETSP0288,33704,13209,1827,17743,8762,1177,39006,6006,676,672,202,63
MMETSP0290,37920,13355,2929,16426,8769,1894,38159,5537,1128,171,63,24
MMETSP0292,30400,16449,4127,18845,11876,3132,41451,5842,1086,255,75,26
MMETSP0294,36244,18853,,22261,13828,,54615,6766,,347,104,
MMETSP0295,30522,15690,,18120,11258,,41585,5787,,218,71,
MMETSP0296,29283,15642,217,17950,10993,157,42675,6122,62,308,100,0
MMETSP0308,30755,17124,,18944,12660,,57297,6087,,290,98,
MMETSP0312,12100,6039,257,6614,4462,176,30214,2999,81,233,79,21
MMETSP0313,17605,8398,1520,8422,5419,990,26286,3927,607,83,27,10
MMETSP0314,19560,12972,2276,15629,11111,2074,26204,3042,241,439,135,34
MMETSP0315,17023,8567,1012,8634,5920,714,29201,4557,360,242,76,12
MMETSP0316,16072,7014,1678,6363,3728,976,22071,3828,768,107,29,12
MMETSP0317,14789,6306,1679,5789,3390,1004,19239,3351,725,95,29,12
MMETSP0318,21624,9110,2126,8138,4750,1186,28206,5127,1041,71,17,3
MMETSP0319,27385,11277,9,11381,6410,7,43937,6726,1,210,63,0
MMETSP0320,28053,11462,932,11459,6534,555,43018,6800,488,176,52,16
MMETSP0321,25923,10812,568,10387,6390,358,46120,6501,273,633,178,38
MMETSP0322,17339,8235,,7086,4387,,31776,4739,,157,45,
MMETSP0323,22091,8993,,10626,6693,,15511,3264,,100,28,
MMETSP0324,67760,29558,6042,34679,20707,4246,79774,10971,2104,305,32,11
MMETSP0325,66666,29580,4865,35136,20869,3464,85541,11190,1632,335,35,11
MMETSP0326,23149,9505,1719,11323,7108,1363,16916,3481,433,448,129,42
MMETSP0327,19475,9336,53,8822,5264,38,35928,5213,23,290,83,0
MMETSP0328,49505,19289,10802,30438,17779,8948,41465,8026,4118,81,24,14
MMETSP0329,1010,486,32,451,284,23,1922,249,10,3,0,0
MMETSP0347,21610,9144,7045,10281,5837,4457,25677,5081,3670,46,12,11
MMETSP0359,126570,52147,8516,73683,42913,6782,218541,26477,3265,1367,154,63
MMETSP0360,84019,33644,,40255,21243,,97468,15903,,248,36,
MMETSP0361,131056,52729,,75817,43291,,218015,27452,,1359,170,
MMETSP0367,80732,36461,6443,43258,23453,4332,109707,16208,2522,282,42,16
MMETSP0368,81090,35868,6802,42909,23132,4519,107574,16243,2731,240,28,9
MMETSP0369,84578,36469,7349,43869,23547,4894,107160,16807,2932,258,39,10
MMETSP0370,77923,33246,8045,39348,21254,5197,93135,15295,3288,230,23,10
MMETSP0371,77388,32812,2199,39086,21040,1399,90896,15103,905,203,28,6
MMETSP0372,2037,602,145,1079,755,124,1008,227,43,20,12,2
MMETSP0378,23954,9134,959,9524,5749,756,19332,4421,289,43,12,0
MMETSP0380,20442,7508,682,8015,4881,539,15103,3595,190,410,124,42
MMETSP0382,100534,49253,6825,59698,31826,4674,168262,22470,2592,259,39,9
MMETSP0384,144384,73301,26904,85305,50483,19076,183290,29010,8752,664,178,54
MMETSP0397,20782,9276,1017,9613,5599,679,26785,4785,367,1037,321,111
MMETSP0398,8187,3258,,3342,2378,,6831,1375,,161,52,
MMETSP0399,11808,4702,,4427,3102,,10937,2292,,92,28,
MMETSP0403,32467,13206,1236,15092,8052,805,44571,7175,487,319,92,13
MMETSP0404,33998,13647,,15398,8242,,44038,7172,,146,41,
MMETSP0405,25206,12366,,11457,7661,,43003,6412,,88,39,
MMETSP0409,26016,14648,7638,15057,9707,4932,28286,6005,3071,390,136,50
MMETSP0410,31212,18063,,19074,12135,,38273,7201,,448,135,
MMETSP0411,31029,17602,,18547,11859,,35052,6976,,428,138,
MMETSP0413,26546,14828,2844,13741,9422,1724,58727,7055,1251,109,33,13
MMETSP0414,29716,17487,6566,18893,11795,4300,40511,7045,2471,617,173,58
MMETSP0415,33477,18480,8018,19895,12363,5092,39042,7590,3174,640,180,47
