Run	Unique_kmers
SRR1296765	93530145
SRR1296762	16166760
SRR1296763	23549174
SRR1296760	95383962
SRR1296761	82406013
SRR1300542	7661229
SRR1300543	18750851
SRR1300229	22526264
SRR1300541	9339020
SRR1296838	18202923
SRR1296930	19943910
SRR1294436	1328450
SRR1300545	14661600
SRR1300328	28944397
SRR1300329	36074779
SRR1300326	94050254
SRR1300327	78503516
SRR1300324	23038675
SRR1300325	84328567
SRR1300322	7540540
SRR1300323	12885834
SRR1300320	4208666
SRR1300321	16698832
SRR1296830	17199711
SRR1296831	20598434
SRR1296955	28846690
SRR1296954	19881392
SRR1296957	30148269
SRR1296956	16901960
SRR1296818	16820982
SRR1296819	33275873
SRR1296953	40492648
SRR1296814	23878073
SRR1296815	19935316
SRR1296816	21956787
SRR1296817	17700837
SRR1296810	37179478
SRR1296811	29549892
SRR1296812	31695965
SRR1296813	63240916
SRR1300528	30844660
SRR1300529	10206124
SRR1300425	29884225
SRR1300424	27923386
SRR1300427	32119592
SRR1300426	32871399
SRR1300421	15273211
SRR1300420	20656866
SRR1300423	23579888
SRR1300422	11071725
SRR1300429	19686798
SRR1300428	22469949
SRR1294439	60877673
SRR1300520	38332475
SRR1300288	29069035
SRR1296731	27032679
SRR1296991	31295816
SRR1296733	26496242
SRR1296732	27261321
SRR1296735	28391632
SRR1296734	48402026
SRR1296737	46951782
SRR1296736	41774301
SRR1296739	18060378
SRR1296738	70772289
SRR1300256	80972269
SRR1300257	79219161
SRR1300254	9336359
SRR1300255	81173373
SRR1300252	10057911
SRR1300253	10502219
SRR1294429	2692430
SRR1294428	12577134
SRR1294427	25727827
SRR1294426	12547836
SRR1294425	14920851
SRR1294424	27457747
SRR1294423	23824544
SRR1294422	13123218
SRR1300258	85543359
SRR1294420	10707551
SRR1294391	1323452
SRR1294390	7961291
SRR1294393	2218096
SRR1296808	16599964
SRR1294395	19776403
SRR1294394	3264679
SRR1294397	4297531
SRR1294396	5243827
SRR1294399	3405245
SRR1294398	5042110
SRR1296788	69794449
SRR1296789	50663417
SRR1296784	59260381
SRR1296785	50207368
SRR1296786	101660835
SRR1296787	67616561
SRR1296780	22006554
SRR1296781	19010568
SRR1296782	13596843
SRR1296783	17068500
SRR1294458	29183647
SRR1294459	32386781
SRR1294452	4128423
SRR1294453	3702117
SRR1294450	4021354
SRR1294451	3953431
SRR1294456	5822092
SRR1294457	6026238
SRR1294454	14139666
SRR1294455	5787814
SRR1296698	28064383
SRR1328074	2680902
SRR1328075	727266
SRR1328076	7786616
SRR1328077	1913815
SRR1296858	10456697
SRR1296859	12063199
SRR1296993	4811846
SRR1296992	17667832
SRR1296995	25039642
SRR1296994	18828063
SRR1296996	34669733
SRR1296850	21912739
SRR1296851	88213816
SRR1296852	96292904
SRR1296853	84918150
SRR1296854	89662046
SRR1296855	23378365
SRR1296856	15997075
SRR1296857	13482740
